id,liquidity_tier,usd_size,input_mint,output_mint,amount,ours_status,ours_out,jup_restricted_status,jup_restricted_out,jup_unrestricted_status,jup_unrestricted_out,delta_bps_vs_restricted,delta_bps_vs_unrestricted,outcome_vs_restricted,ours_server_ms,ours_rtt_ms,jup_restricted_rtt_ms,jup_unrestricted_rtt_ms,jaccard_vs_restricted
usdc-SsVoCh2y-1000usd-rev,tail,1000,SsVoCh2ynpTgz7UDmdc1Nu47zyFntqKVW3S1WZgLps5,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,17813550025414,no_route,,no_route,,no_route,,,,both_no_route,,6.868,165.030,115.054,
usdc-SsVoCh2y-10000usd-fwd,tail,10000,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,SsVoCh2ynpTgz7UDmdc1Nu47zyFntqKVW3S1WZgLps5,10000000000,no_route,,no_route,,no_route,,,,both_no_route,,25.720,119.121,105.219,
usdc-SsVoCh2y-10000usd-rev,tail,10000,SsVoCh2ynpTgz7UDmdc1Nu47zyFntqKVW3S1WZgLps5,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,178135500254137,no_route,,no_route,,no_route,,,,both_no_route,,6.552,248.872,164.380,
usdc-SsVoCh2y-100000usd-fwd,tail,100000,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,SsVoCh2ynpTgz7UDmdc1Nu47zyFntqKVW3S1WZgLps5,100000000000,no_route,,no_route,,no_route,,,,both_no_route,,13.377,99.845,94.103,
usdc-SsVoCh2y-100000usd-rev,tail,100000,SsVoCh2ynpTgz7UDmdc1Nu47zyFntqKVW3S1WZgLps5,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,1781355002541372,no_route,,no_route,,no_route,,,,both_no_route,,18.596,111.434,112.616,
sol-J4HsEwcD-0.1usd-fwd,tail,0.1,So11111111111111111111111111111111111111112,J4HsEwcDTxcYW3K3k1jj7DieTezHctcRZRAJQWNTfRx2,625000,no_route,,ok,2592908156,ok,2592908156,,,ours_no_route,,95.623,109.120,101.950,
sol-J4HsEwcD-0.1usd-rev,tail,0.1,J4HsEwcDTxcYW3K3k1jj7DieTezHctcRZRAJQWNTfRx2,So11111111111111111111111111111111111111112,2560736009,no_route,,ok,613498,ok,613498,,,ours_no_route,,49.434,104.904,103.458,
sol-J4HsEwcD-1usd-fwd,tail,1,So11111111111111111111111111111111111111112,J4HsEwcDTxcYW3K3k1jj7DieTezHctcRZRAJQWNTfRx2,6250000,no_route,,ok,25926824554,ok,25926824554,,,ours_no_route,,71.181,100.381,97.817,
sol-J4HsEwcD-1usd-rev,tail,1,J4HsEwcDTxcYW3K3k1jj7DieTezHctcRZRAJQWNTfRx2,So11111111111111111111111111111111111111112,25607360087,no_route,,ok,6134450,ok,6134450,,,ours_no_route,,73.880,110.379,109.704,
sol-J4HsEwcD-10usd-fwd,tail,10,So11111111111111111111111111111111111111112,J4HsEwcDTxcYW3K3k1jj7DieTezHctcRZRAJQWNTfRx2,62500000,no_route,,ok,259039030978,ok,259039030978,,,ours_no_route,,71.873,112.298,124.251,
sol-J4HsEwcD-10usd-rev,tail,10,J4HsEwcDTxcYW3K3k1jj7DieTezHctcRZRAJQWNTfRx2,So11111111111111111111111111111111111111112,256073600870,no_route,,ok,61290950,ok,61290950,,,ours_no_route,,68.593,107.506,106.292,
sol-J4HsEwcD-100usd-fwd,tail,100,So11111111111111111111111111111111111111112,J4HsEwcDTxcYW3K3k1jj7DieTezHctcRZRAJQWNTfRx2,625000000,no_route,,ok,2567689005056,ok,2567689005056,,,ours_no_route,,72.248,109.206,160.052,
sol-J4HsEwcD-100usd-rev,tail,100,J4HsEwcDTxcYW3K3k1jj7DieTezHctcRZRAJQWNTfRx2,So11111111111111111111111111111111111111112,2560736008698,no_route,,ok,607604234,ok,607604234,,,ours_no_route,,68.713,113.712,114.070,
sol-J4HsEwcD-1000usd-fwd,tail,1000,So11111111111111111111111111111111111111112,J4HsEwcDTxcYW3K3k1jj7DieTezHctcRZRAJQWNTfRx2,6250000000,no_route,,ok,23607966590434,ok,23607966590434,,,ours_no_route,,75.544,139.619,152.570,
sol-J4HsEwcD-1000usd-rev,tail,1000,J4HsEwcDTxcYW3K3k1jj7DieTezHctcRZRAJQWNTfRx2,So11111111111111111111111111111111111111112,25607360086980,no_route,,ok,5592005200,ok,5592005200,,,ours_no_route,,68.441,123.424,107.414,
sol-J4HsEwcD-10000usd-fwd,tail,10000,So11111111111111111111111111111111111111112,J4HsEwcDTxcYW3K3k1jj7DieTezHctcRZRAJQWNTfRx2,62500000000,no_route,,ok,130737507954914,ok,130737507954914,,,ours_no_route,,55.602,104.557,96.570,
sol-J4HsEwcD-10000usd-rev,tail,10000,J4HsEwcDTxcYW3K3k1jj7DieTezHctcRZRAJQWNTfRx2,So11111111111111111111111111111111111111112,256073600869798,no_route,,ok,31124928782,ok,31124928782,,,ours_no_route,,54.951,103.060,103.892,
sol-J4HsEwcD-100000usd-fwd,tail,100000,So11111111111111111111111111111111111111112,J4HsEwcDTxcYW3K3k1jj7DieTezHctcRZRAJQWNTfRx2,625000000000,no_route,,ok,239351976642221,ok,239351976642221,,,ours_no_route,,55.874,115.126,136.956,
sol-J4HsEwcD-100000usd-rev,tail,100000,J4HsEwcDTxcYW3K3k1jj7DieTezHctcRZRAJQWNTfRx2,So11111111111111111111111111111111111111112,2560736008697982,no_route,,ok,57277792490,ok,57277792490,,,ours_no_route,,67.030,115.862,113.656,
